TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD,FRATE,AMBIANT
2.02E+13,3384,75,80,31,37.8,31,28,7.8,29
2.02E+13,3384,76,79,30,37.8,31,28,6.4,29
2.02E+13,3399,76,80,30,38.15,31,29,7.3,31
2.02E+13,3407,76,80,30,37.03,31,29,6.1,29
2.02E+13,3407,76,80,29,37.03,31,27,6.7,29
2.02E+13,3419,76,80,29,36.89,31,27,7.2,30
2.02E+13,3433,76,80,30,37.31,31,27,6,29
2.02E+13,3433,76,80,30,37.31,31,27,6.1,29
2.02E+13,3450,76,80,30,37.17,31,27,6.6,30
2.02E+13,3467,77,80,30,37.31,31,27,7.5,28
2.02E+13,3467,77,80,30,37.31,31,26,6.8,29
2.02E+13,3473,77,80,30,37.31,31,26,7.4,29
2.02E+13,3486,78,80,29,36.33,31,26,7.5,28
2.02E+13,3486,78,80,29,36.33,31,26,7.7,31
2.02E+13,3492,78,80,29,37.45,31,26,7.6,30
2.02E+13,3501,78,80,29,35.7,31,26,7.3,31
2.02E+13,3501,78,80,29,35.7,31,26,7.4,29
2.02E+13,3501,78,80,29,37.94,31,27,7.2,28
2.02E+13,3504,78,80,29,38.5,31,27,6.1,28
2.02E+13,3504,78,80,29,38.5,31,27,7.7,31
2.02E+13,3502,78,80,29,38.15,31,27,7,30
2.02E+13,3510,78,80,28,37.59,31,27,7.7,28
2.02E+13,3510,78,80,28,37.59,31,27,6,31
2.02E+13,3519,78,80,28,43.4,33,30,7.9,31
2.02E+13,3557,78,80,28,42.91,33,30,6.1,28
2.02E+13,3557,80,80,28,42.91,33,31,6.5,28
2.02E+13,3588,80,80,28,43.26,33,30,7.8,28
2.02E+13,3609,80,80,28,43.05,32,30,6,30
2.02E+13,3609,80,80,28,43.05,32,27,7.5,28
2.02E+13,3628,80,80,28,38.85,31,27,7.2,30
2.02E+13,3627,81,80,28,39.62,31,27,6.9,29
2.02E+13,3627,81,80,29,39.62,31,27,7.4,28
2.02E+13,3625,81,81,29,38.85,31,27,6.7,31
